label;cv_fold;time;percentage;R2;RMSE;test_monomerA
1;4;421;0.1;0.796007109;0.174605371;[*:1]c1ccc([*:2])c2nsnc12
1;4;421;0.2;0.834507611;0.15726754;[*:1]c1ccc([*:2])c2nsnc12
0;4;422;0.01;-0.943060225;0.338466799;[*:1]c1ccc([*:2])c2nsnc12
0;4;422;0.02;-0.647791917;0.311690903;[*:1]c1ccc([*:2])c2nsnc12
0;4;422;0.04;-0.350127548;0.282137194;[*:1]c1ccc([*:2])c2nsnc12
0;4;422;0.1;0.324017696;0.199636803;[*:1]c1ccc([*:2])c2nsnc12
0;4;422;0.2;0.628440791;0.148008602;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.01;0.617672427;0.239038521;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.02;0.80886396;0.169013492;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.04;0.844364313;0.152512232;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.1;0.936927982;0.097088646;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.2;0.962584842;0.074778005;[*:1]c1ccc([*:2])c2nsnc12
0;5;42;0.01;-0.003922326;0.618169181;[*:1]c1ccc([*:2])cc1
0;5;42;0.02;0.016891737;0.611727446;[*:1]c1ccc([*:2])cc1
0;5;42;0.04;0.330739471;0.504725096;[*:1]c1ccc([*:2])cc1
0;5;42;0.1;0.564793989;0.407009677;[*:1]c1ccc([*:2])cc1
0;5;42;0.2;0.861391932;0.229695003;[*:1]c1ccc([*:2])cc1
1;5;42;0.01;0.598354303;0.269698814;[*:1]c1ccc([*:2])cc1
1;5;42;0.02;0.799507879;0.190548762;[*:1]c1ccc([*:2])cc1
1;5;42;0.04;0.786645023;0.196566211;[*:1]c1ccc([*:2])cc1
1;5;42;0.1;0.779343044;0.199901608;[*:1]c1ccc([*:2])cc1
1;5;42;0.2;0.923892149;0.117401111;[*:1]c1ccc([*:2])cc1
0;5;421;0.01;0.605693853;0.38741289;[*:1]c1ccc([*:2])cc1
0;5;421;0.02;0.525506287;0.424983945;[*:1]c1ccc([*:2])cc1
0;5;421;0.04;0.617226152;0.381705504;[*:1]c1ccc([*:2])cc1
0;5;421;0.1;0.821808077;0.26043617;[*:1]c1ccc([*:2])cc1
0;5;421;0.2;0.916957024;0.177790579;[*:1]c1ccc([*:2])cc1
1;5;421;0.01;0.638098485;0.256007494;[*:1]c1ccc([*:2])cc1
1;5;421;0.02;0.653808133;0.250389382;[*:1]c1ccc([*:2])cc1
1;5;421;0.04;0.818277902;0.181410052;[*:1]c1ccc([*:2])cc1
1;5;421;0.1;0.874606405;0.15069372;[*:1]c1ccc([*:2])cc1
1;5;421;0.2;0.948562965;0.096515139;[*:1]c1ccc([*:2])cc1
0;5;422;0.01;-0.679961522;0.799662923;[*:1]c1ccc([*:2])cc1
0;5;422;0.02;0.076801957;0.592795271;[*:1]c1ccc([*:2])cc1
0;5;422;0.04;0.41567142;0.471613097;[*:1]c1ccc([*:2])cc1
0;5;422;0.1;0.786462595;0.285098067;[*:1]c1ccc([*:2])cc1
0;5;422;0.2;0.885083352;0.209145617;[*:1]c1ccc([*:2])cc1
1;5;422;0.01;0.654621365;0.250095117;[*:1]c1ccc([*:2])cc1
1;5;422;0.02;0.78396986;0.1977947;[*:1]c1ccc([*:2])cc1
1;5;422;0.04;0.857549324;0.160616343;[*:1]c1ccc([*:2])cc1
1;5;422;0.1;0.919432814;0.120791556;[*:1]c1ccc([*:2])cc1
1;5;422;0.2;0.950160316;0.095004706;[*:1]c1ccc([*:2])cc1
0;6;42;0.01;0.40868998;0.382291143;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;42;0.02;0.766716666;0.240120077;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;42;0.04;0.850509115;0.192217964;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;42;0.1;0.808236709;0.217705476;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;42;0.2;0.806031802;0.218953495;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;42;0.01;0.585017673;0.183697154;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;42;0.02;0.631078359;0.173202714;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;42;0.04;0.719628515;0.150992212;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;42;0.1;0.850655751;0.110200072;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;42;0.2;0.670327651;0.163730236;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;421;0.01;0.76006232;0.243520678;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;421;0.02;0.815234387;0.213696392;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;421;0.04;0.870885162;0.178638348;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;421;0.1;0.911895886;0.147565458;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;421;0.2;0.933361835;0.128335892;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;421;0.01;0.626274865;0.174326649;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;421;0.02;0.540397069;0.193320995;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;421;0.04;0.484735869;0.204692807;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;421;0.1;0.921367234;0.07996306;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;421;0.2;0.86913083;0.103158805;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;422;0.01;0.688823402;0.277325676;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;422;0.02;0.611059068;0.310047648;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;422;0.04;0.627122844;0.303577448;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;422;0.1;0.82927118;0.205418728;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;422;0.2;0.847288747;0.194277335;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;422;0.01;0.472126387;0.207182278;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;422;0.02;-0.562059909;0.356398995;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;422;0.04;-0.087735139;0.297405644;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;422;0.1;0.632238217;0.172930233;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
1;6;422;0.2;0.558517533;0.189471703;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;7;42;0.01;-1.198.571.592;1.287.376.984;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;42;0.02;-4.058.297.053;0.803479789;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;42;0.04;-1.592.503.197;0.575217966;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;42;0.1;0.679472386;0.202257911;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;42;0.2;0.933708043;0.091982077;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;42;0.01;0.579922082;0.2429227;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;42;0.02;0.687089742;0.209658789;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;42;0.04;0.785581052;0.17355405;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;42;0.1;0.902308;0.117147405;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;42;0.2;0.952574671;0.08162221;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;421;0.01;0.444676472;0.266223157;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;421;0.02;0.480619122;0.25746356;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;421;0.04;0.732084166;0.184914932;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;421;0.1;0.91535657;0.103936818;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;421;0.2;0.951422064;0.07873944;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;421;0.01;0.584543247;0.241582841;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;421;0.02;0.715415244;0.199944282;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;421;0.04;0.824584785;0.156977281;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;421;0.1;0.898071392;0.119660612;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;421;0.2;0.950138665;0.083692227;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;422;0.01;-1.975.284.127;0.616221738;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;422;0.02;0.604634269;0.224632351;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;422;0.04;-0.027184711;0.362073771;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;422;0.1;0.908907622;0.107823596;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;7;422;0.2;0.933521988;0.092111065;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;422;0.01;0.467195297;0.273581797;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;422;0.02;0.612245122;0.233389766;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;422;0.04;0.758487135;0.184193079;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;422;0.1;0.938533128;0.092923109;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
1;7;422;0.2;0.963355931;0.07174721;[*:1]c1ccc2c(c1)S(=O)(=O)c1cc([*:2])ccc1-2
0;8;42;0.01;0.701081104;0.319493689;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;42;0.02;0.807508617;0.256384193;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;42;0.04;0.784131067;0.271506775;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;42;0.1;0.906437399;0.178746168;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;42;0.2;0.950482318;0.130036644;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;42;0.01;0.274427149;0.202419094;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;42;0.02;0.711921657;0.127545832;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;42;0.04;0.796300816;0.107252052;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;42;0.1;0.907747246;0.072177301;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;42;0.2;0.93445976;0.060836606;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;421;0.01;0.712952001;0.313085432;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;421;0.02;0.794968382;0.264603764;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;421;0.04;0.821809772;0.246676365;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;421;0.1;0.913248702;0.172116929;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;421;0.2;0.972129589;0.097556742;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;421;0.01;0.400192034;0.184042058;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;421;0.02;0.060204762;0.230370882;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;421;0.04;0.617344486;0.146999194;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;421;0.1;0.9114656;0.070707745;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;421;0.2;0.953006604;0.051514487;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;422;0.01;0.25365455;0.504842075;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;422;0.02;0.799161459;0.261884098;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;422;0.04;0.811073551;0.253998984;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;422;0.1;0.903940406;0.181115647;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
0;8;422;0.2;0.947538464;0.133846217;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;422;0.01;0.264987862;0.203731518;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;422;0.02;0.650700157;0.140446254;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;422;0.04;0.52792212;0.163274285;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;422;0.1;0.754262682;0.117800334;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
1;8;422;0.2;0.901266938;0.074669332;[*:1]c1ccc2c(c1)[nH]c1cc([*:2])ccc12
